Census_geoid,Urban_name,CUHI_day_summer,Tree Area (%),Median Income (K)
25005613700,"Boston, MA--NH--RI",0.4889514997,58.170509,48.008
25025091600,"Boston, MA--NH--RI",0.8226394792,24.13614378,34.063
25017315500,"Boston, MA--NH--RI",0.4345762582,80.75625701,62.797
25017311300,"Boston, MA--NH--RI",0.9411688773,27.95631152,40.6
25021440100,"Boston, MA--NH--RI",-0.1157701645,75.72535732,64.384
25005615100,"Boston, MA--NH--RI",-0.09030519662,80.98803816,54.799
25009206000,"Boston, MA--NH--RI",0.4766923145,15.02104292,30.344
25017310700,"Boston, MA--NH--RI",0.8563843818,30.1236509,32.679
25009251400,"Boston, MA--NH--RI",0.912976628,35.99475805,36.421
25009208300,"Boston, MA--NH--RI",0.2045804363,69.16473692,56.612
25021422400,"Boston, MA--NH--RI",0.3279154492,64.008534,71.128
25023511200,"Boston, MA--NH--RI",0.3447996697,61.61751318,45.811
25025160502,"Boston, MA--NH--RI",0.8594359373,6.44620629,46.25
25017310602,"Boston, MA--NH--RI",0.6040875881,48.70384199,44.982
25025050101,"Boston, MA--NH--RI",0.6935795391,8.05842762,35.911
25005612200,"Boston, MA--NH--RI",0.04270039885,76.11747115,67.446
25009250200,"Boston, MA--NH--RI",0.7970523779,37.43394159,36.023
25025160101,"Boston, MA--NH--RI",0.8884744707,12.93807983,35.613
25025981202,"Boston, MA--NH--RI",0.4309821411,0.5032902775,21.298
25025010702,"Boston, MA--NH--RI",0.7176781098,21.81353238,102.952
25025010204,"Boston, MA--NH--RI",0.9622746257,3.243740678,60.371
25017354100,"Boston, MA--NH--RI",0.9481674422,52.22599054,81.993
25025000803,"Boston, MA--NH--RI",1.034551529,9.408520475,78.375
25017353600,"Boston, MA--NH--RI",1.088812776,47.59094738,77.721
25017338300,"Boston, MA--NH--RI",0.4751026328,77.43969425,127.109
25025120105,"Boston, MA--NH--RI",0.3197316791,80.34324959,99.8
25017354700,"Boston, MA--NH--RI",1.108709385,40.01862866,72.469
25025010500,"Boston, MA--NH--RI",0.8071102366,3.704776377,62.063
25021404202,"Boston, MA--NH--RI",0.3136666024,76.52090456,149.375
25021417300,"Boston, MA--NH--RI",0.3350372135,9.739005057,67.759
25017357600,"Boston, MA--NH--RI",0.7626031694,38.66800017,65.479
25025070300,"Boston, MA--NH--RI",0.7117792187,12.70618086,93.676
25021416102,"Boston, MA--NH--RI",-0.06108907849,91.02547869,92.143
25017353101,"Boston, MA--NH--RI",1.085129739,7.810384369,60.826
25025000703,"Boston, MA--NH--RI",1.193653972,4.937782693,37.619
25025110601,"Boston, MA--NH--RI",0.3650567304,81.50642235,73.75
25025071101,"Boston, MA--NH--RI",1.082295655,16.12347453,82.143
25017374400,"Boston, MA--NH--RI",0.6478281132,78.39996548,134.306
